id;standort;anzahl_ladepunkte;ladesaeule_status;adresse;koordinaten;typ;ladepunkt;stecker;status;authmethod_1;authmethod_2;the_geom;coordinate_reference_system
APP_STROMNETZ_EMOBILITY_8554580;I11;2;frei;Jessenstraße 11;N53.550730 E9.944930;;+498003006070;;frei;unbekannt;;POINT (562603.900410 5933952.816257);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554581;I11;2;frei;Jessenstraße 11;N53.550730 E9.944930;;+498003006070;;frei;unbekannt;;POINT (562603.900410 5933952.816257);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554582;5201;2;teilweise belegt;Lübsche Straße 28;N53.701153 E11.115017;;+49385755111;;unbekannt;unbekannt;;POINT (639619.999374 5952349.917482);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554583;5201;2;teilweise belegt;Lübsche Straße 28;N53.701153 E11.115017;;+49385755111;;unbekannt;unbekannt;;POINT (639619.999374 5952349.917482);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554584;5202;2;teilweise belegt;Dorfmitte 24;N53.653264 E11.173836;;+49385755111;;unbekannt;unbekannt;;POINT (643665.215553 5947140.356258);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554585;5202;2;teilweise belegt;Dorfmitte 24;N53.653264 E11.173836;;+49385755111;;unbekannt;unbekannt;;POINT (643665.215553 5947140.356258);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554586;5210;2;teilweise belegt;Quetziner Straße 2;N53.462083 E12.265583;;+49385755111;;unbekannt;unbekannt;;POINT (716773.405199 5928641.171154);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554587;5210;2;teilweise belegt;Quetziner Straße 2;N53.462083 E12.265583;;+49385755111;;unbekannt;unbekannt;;POINT (716773.405199 5928641.171154);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554588;5211;2;teilweise belegt;Amtsstraße 5;N53.575349 E11.650238;;+49385755111;;unbekannt;unbekannt;;POINT (675466.674030 5939542.800116);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554589;5211;2;teilweise belegt;Amtsstraße 5;N53.575349 E11.650238;;+49385755111;;unbekannt;unbekannt;;POINT (675466.674030 5939542.800116);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554590;5212;2;teilweise belegt;Am Hafen 1;N53.848030 E11.987264;;+49385755111;;unbekannt;unbekannt;;POINT (696499.258807 5970751.404959);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554591;5212;2;teilweise belegt;Am Hafen 1;N53.848030 E11.987264;;+49385755111;;unbekannt;unbekannt;;POINT (696499.258807 5970751.404959);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554592;5213;2;teilweise belegt;Am Mühlentor 12;N53.800359 E11.702946;;+49385755111;;unbekannt;unbekannt;;POINT (678003.592626 5964699.139664);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554593;5213;2;teilweise belegt;Am Mühlentor 12;N53.800359 E11.702946;;+49385755111;;unbekannt;unbekannt;;POINT (678003.592626 5964699.139664);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554594;5203;2;teilweise belegt;Bahnhofstraße 18;N53.729175 E11.408722;;+49385755111;;unbekannt;unbekannt;;POINT (658899.651869 5956083.774803);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554595;5203;2;teilweise belegt;Bahnhofstraße 18;N53.729175 E11.408722;;+49385755111;;unbekannt;unbekannt;;POINT (658899.651869 5956083.774803);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554596;5204;2;teilweise belegt;Freiheitsplatz 1;N53.779826 E11.050603;;+49385755111;;unbekannt;unbekannt;;POINT (635115.689958 5960976.433703);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554597;5204;2;teilweise belegt;Freiheitsplatz 1;N53.779826 E11.050603;;+49385755111;;unbekannt;unbekannt;;POINT (635115.689958 5960976.433703);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554598;5205;2;teilweise belegt;Amtsberg 2;N53.513642 E11.072242;;+49385755111;;unbekannt;unbekannt;;POINT (637404.131744 5931409.574755);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554599;5205;2;teilweise belegt;Amtsberg 2;N53.513642 E11.072242;;+49385755111;;unbekannt;unbekannt;;POINT (637404.131744 5931409.574755);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554600;5206;2;teilweise belegt;Amtsstraße 2;N53.554173 E10.917151;;+49385755111;;unbekannt;unbekannt;;POINT (627000.318215 5935630.054213);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554601;5206;2;teilweise belegt;Amtsstraße 2;N53.554173 E10.917151;;+49385755111;;unbekannt;unbekannt;;POINT (627000.318215 5935630.054213);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554602;5207;2;teilweise belegt;Wittenburger Chaussee 13;N53.543974 E10.929580;;+49385755111;;unbekannt;unbekannt;;POINT (627854.320841 5934517.822597);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554603;5207;2;teilweise belegt;Wittenburger Chaussee 13;N53.543974 E10.929580;;+49385755111;;unbekannt;unbekannt;;POINT (627854.320841 5934517.822597);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554604;5208;2;teilweise belegt;Dr. Robert Koch Straße 2;N53.398959 E10.967929;;+49385755111;;unbekannt;unbekannt;;POINT (630840.408537 5918457.115712);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554605;5208;2;teilweise belegt;Dr. Robert Koch Straße 2;N53.398959 E10.967929;;+49385755111;;unbekannt;unbekannt;;POINT (630840.408537 5918457.115712);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554606;5209;2;teilweise belegt;Markt 1;N53.383280 E11.585320;;+49385755111;;unbekannt;unbekannt;;POINT (671944.602363 5918023.227986);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554607;5209;2;teilweise belegt;Markt 1;N53.383280 E11.585320;;+49385755111;;unbekannt;unbekannt;;POINT (671944.602363 5918023.227986);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554608;5220;2;teilweise belegt;Goldberger Straße 26;N53.620353 E12.082155;;+49385755111;;unbekannt;unbekannt;;POINT (703838.527111 5945699.200536);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554609;5220;2;teilweise belegt;Goldberger Straße 26;N53.620353 E12.082155;;+49385755111;;unbekannt;unbekannt;;POINT (703838.527111 5945699.200536);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554610;5221;2;teilweise belegt;Gewerbeallee 5;N53.567127 E11.661921;;+49385755111;;unbekannt;unbekannt;;POINT (676274.224000 5938657.240076);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554611;5221;2;teilweise belegt;Gewerbeallee 5;N53.567127 E11.661921;;+49385755111;;unbekannt;unbekannt;;POINT (676274.224000 5938657.240076);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554612;5222;2;teilweise belegt;Wöbbeliner Straße 90;N53.348700 E11.489099;;+49385755111;;unbekannt;unbekannt;;POINT (665680.473066 5913949.729355);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554613;5222;2;teilweise belegt;Wöbbeliner Straße 90;N53.348700 E11.489099;;+49385755111;;unbekannt;unbekannt;;POINT (665680.473066 5913949.729355);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554614;5214;2;teilweise belegt;Am Wall 2;N53.712899 E11.828683;;+49385755111;;unbekannt;unbekannt;;POINT (686669.679385 5955294.994073);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554615;5214;2;teilweise belegt;Am Wall 2;N53.712899 E11.828683;;+49385755111;;unbekannt;unbekannt;;POINT (686669.679385 5955294.994073);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554616;5215;2;teilweise belegt;Alte Burg 1;N53.381306 E11.586534;;+49385755111;;unbekannt;unbekannt;;POINT (672033.287534 5917806.613364);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554617;5215;2;teilweise belegt;Alte Burg 1;N53.381306 E11.586534;;+49385755111;;unbekannt;unbekannt;;POINT (672033.287534 5917806.613364);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554618;5219;2;teilweise belegt;Lübtheener Straße 0;N53.365749 E11.084754;;+49385755111;;unbekannt;unbekannt;;POINT (638714.639980 5914983.838427);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554619;5219;2;teilweise belegt;Lübtheener Straße 0;N53.365749 E11.084754;;+49385755111;;unbekannt;unbekannt;;POINT (638714.639980 5914983.838427);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554620;5231;2;teilweise belegt;Marienstraße 14;N53.297527 E11.085130;;+49385755111;;unbekannt;unbekannt;;POINT (638961.254347 5907396.447609);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554621;5231;2;teilweise belegt;Marienstraße 14;N53.297527 E11.085130;;+49385755111;;unbekannt;unbekannt;;POINT (638961.254347 5907396.447609);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554622;5232;2;teilweise belegt;Grüner Weg 3;N53.296344 E11.079756;;+49385755111;;unbekannt;unbekannt;;POINT (638606.985766 5907254.427100);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554623;5232;2;teilweise belegt;Grüner Weg 3;N53.296344 E11.079756;;+49385755111;;unbekannt;unbekannt;;POINT (638606.985766 5907254.427100);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554624;5235;2;teilweise belegt;Fischersteig 0;N54.147802 E11.755038;;+49385755111;;unbekannt;unbekannt;;POINT (679929.427115 6003473.809721);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554625;5235;2;teilweise belegt;Fischersteig 0;N54.147802 E11.755038;;+49385755111;;unbekannt;unbekannt;;POINT (679929.427115 6003473.809721);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554626;5226;2;teilweise belegt;Markt 21;N53.939639 E12.107596;;+49385755111;;unbekannt;unbekannt;;POINT (703965.398117 5981279.265124);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554627;5226;2;teilweise belegt;Markt 21;N53.939639 E12.107596;;+49385755111;;unbekannt;unbekannt;;POINT (703965.398117 5981279.265124);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554628;5227;2;teilweise belegt;An der Crivitzer Chaussee 1;N53.603698 E11.443816;;+49385755111;;unbekannt;unbekannt;;POINT (661694.155363 5942206.775587);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554629;5227;2;teilweise belegt;An der Crivitzer Chaussee 1;N53.603698 E11.443816;;+49385755111;;unbekannt;unbekannt;;POINT (661694.155363 5942206.775587);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554630;5228;2;teilweise belegt;An der Crivitzer Chaussee 1;N53.603520 E11.443763;;+49385755111;;unbekannt;unbekannt;;POINT (661691.329370 5942186.857415);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554631;5228;2;teilweise belegt;An der Crivitzer Chaussee 1;N53.603520 E11.443763;;+49385755111;;unbekannt;unbekannt;;POINT (661691.329370 5942186.857415);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554632;5240;2;teilweise belegt;Schulzentrift 1;N54.149520 E11.735603;;+49385755111;;unbekannt;unbekannt;;POINT (678653.045512 6003615.571027);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554633;5240;2;teilweise belegt;Schulzentrift 1;N54.149520 E11.735603;;+49385755111;;unbekannt;unbekannt;;POINT (678653.045512 6003615.571027);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554634;5242;2;teilweise belegt;Werderstraße 4;N53.638367 E11.423800;;+49385755111;;unbekannt;unbekannt;;POINT (660238.628452 5946017.496937);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554635;5242;2;teilweise belegt;Werderstraße 4;N53.638367 E11.423800;;+49385755111;;unbekannt;unbekannt;;POINT (660238.628452 5946017.496937);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554636;5243;2;teilweise belegt;Alter Garten 1;N53.626405 E11.416802;;+49385755111;;unbekannt;unbekannt;;POINT (659821.285494 5944671.287654);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554637;5243;2;teilweise belegt;Alter Garten 1;N53.626405 E11.416802;;+49385755111;;unbekannt;unbekannt;;POINT (659821.285494 5944671.287654);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554638;5244;2;teilweise belegt;Demmlerplatz 1;N53.631028 E11.400551;;+49385755111;;unbekannt;unbekannt;;POINT (658729.449451 5945149.087855);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554639;5244;2;teilweise belegt;Demmlerplatz 1;N53.631028 E11.400551;;+49385755111;;unbekannt;unbekannt;;POINT (658729.449451 5945149.087855);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554640;5245;2;teilweise belegt;Bosselmannstraße 1;N53.602000 E11.453000;;+49385755111;;unbekannt;unbekannt;;POINT (662308.213889 5942038.829552);EPSG:25832
APP_STROMNETZ_EMOBILITY_8554641;5245;2;teilweise belegt;Bosselmannstraße 1;N53.602000 E11.453000;;+49385755111;;unbekannt;unbekannt;;POINT (662308.213889 5942038.829552);EPSG:25832
