Unnamed: 0,Modell (Benzin),l/100km
1,Toyota Yaris Cross (343),4.6
2,Suzuki Celerio (92),4.6
3,Toyota Yaris Hybrid (2342),4.8
4,Hyundai IONIQ (536),4.8
5,Suzuki Swace (100),4.9
6,Honda Jazz Hybrid (290),5.0
7,Kia Niro (737),5.1
8,Nissan Pixo (64),5.1
9,Toyota Prius (3427),5.1
10,Daihatsu Cuore (578),5.2
11,Citroen C1 (1060),5.2
12,Toyota Corolla Hybrid (1949),5.2
13,Skoda Citigo (671),5.2
14,Seat Mii (398),5.3
15,Honda Insight (274),5.3
16,Toyota Corolla Cross (112),5.3
17,Toyota Aygo (1623),5.3
18,Toyota Auris Hybrid (3165),5.4
19,Toyota C-HR (1207),5.4
20,Peugeot 107 (582),5.4
21,Volkswagen Up! (1557),5.4
22,Lexus CT 200h (418),5.4
23,Daihatsu Trevis (55),5.4
24,Peugeot 108 (107),5.4
25,Lexus UX 250h (101),5.6
26,Suzuki Alto (249),5.6
27,Mitsubishi Space Star (615),5.6
28,Honda Civic Hybrid (294),5.7
29,Smart Roadster (715),5.7
30,Toyota Prius Plus (444),5.7
31,Volkswagen Jetta Hybrid (25),5.7
32,Lexus ES 300h (33),5.8
33,Toyota iQ (263),5.8
34,Opel Karl (88),5.8
35,Skoda Scala (324),5.9
36,Suzuki Ignis (317),5.9
37,Smart Fortwo (5396),6.0
38,Honda CR-Z (144),6.0
39,Citroen C4 Cactus (146),6.0
40,Daihatsu Sirion (265),6.0
41,Suzuki Baleno (163),6.0
42,Fiat 126 (47),6.1
43,Skoda Rapid (692),6.1
44,Hyundai i10 (1045),6.1
45,Toyota Yaris (2013),6.1
46,Honda Jazz (1208),6.2
47,Kia Picanto (868),6.2
48,Renault Twingo (2363),6.2
49,Hyundai Bayon (43),6.2
50,Suzuki Splash (153),6.2
