Unnamed: 0,Modell (Benzin),consumption_per_100km,fuel_type,unit,Modell (Diesel),Modell,kWh/100km
1,Toyota Yaris Cross (343),4.6,benzin,liter,,,
2,Suzuki Celerio (92),4.6,benzin,liter,,,
3,Toyota Yaris Hybrid (2342),4.8,benzin,liter,,,
4,Hyundai IONIQ (536),4.8,benzin,liter,,,
5,Suzuki Swace (100),4.9,benzin,liter,,,
6,Honda Jazz Hybrid (290),5.0,benzin,liter,,,
7,Kia Niro (737),5.1,benzin,liter,,,
8,Nissan Pixo (64),5.1,benzin,liter,,,
9,Toyota Prius (3427),5.1,benzin,liter,,,
10,Daihatsu Cuore (578),5.2,benzin,liter,,,
11,Citroen C1 (1060),5.2,benzin,liter,,,
12,Toyota Corolla Hybrid (1949),5.2,benzin,liter,,,
13,Skoda Citigo (671),5.2,benzin,liter,,,
14,Seat Mii (398),5.3,benzin,liter,,,
15,Honda Insight (274),5.3,benzin,liter,,,
16,Toyota Corolla Cross (112),5.3,benzin,liter,,,
17,Toyota Aygo (1623),5.3,benzin,liter,,,
18,Toyota Auris Hybrid (3165),5.4,benzin,liter,,,
19,Toyota C-HR (1207),5.4,benzin,liter,,,
20,Peugeot 107 (582),5.4,benzin,liter,,,
21,Volkswagen Up! (1557),5.4,benzin,liter,,,
22,Lexus CT 200h (418),5.4,benzin,liter,,,
23,Daihatsu Trevis (55),5.4,benzin,liter,,,
24,Peugeot 108 (107),5.4,benzin,liter,,,
25,Lexus UX 250h (101),5.6,benzin,liter,,,
26,Suzuki Alto (249),5.6,benzin,liter,,,
27,Mitsubishi Space Star (615),5.6,benzin,liter,,,
28,Honda Civic Hybrid (294),5.7,benzin,liter,,,
29,Smart Roadster (715),5.7,benzin,liter,,,
30,Toyota Prius Plus (444),5.7,benzin,liter,,,
31,Volkswagen Jetta Hybrid (25),5.7,benzin,liter,,,
32,Lexus ES 300h (33),5.8,benzin,liter,,,
33,Toyota iQ (263),5.8,benzin,liter,,,
34,Opel Karl (88),5.8,benzin,liter,,,
35,Skoda Scala (324),5.9,benzin,liter,,,
36,Suzuki Ignis (317),5.9,benzin,liter,,,
37,Smart Fortwo (5396),6.0,benzin,liter,,,
38,Honda CR-Z (144),6.0,benzin,liter,,,
39,Citroen C4 Cactus (146),6.0,benzin,liter,,,
40,Daihatsu Sirion (265),6.0,benzin,liter,,,
41,Suzuki Baleno (163),6.0,benzin,liter,,,
42,Fiat 126 (47),6.1,benzin,liter,,,
43,Skoda Rapid (692),6.1,benzin,liter,,,
44,Hyundai i10 (1045),6.1,benzin,liter,,,
