Betreiber,Straße,Hausnummer,Adresszusatz,Postleitzahl,Ort,Bundesland,Kreis/kreisfreie Stadt,Breitengrad,Längengrad,Inbetriebnahmedatum,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4
EnBW mobility+ AG und Co.KG,Emil-von-Behring-Str.,3,,22541,Brunsbüttel,Schleswig-Holstein,Kreis Dithmarschen,53.90075,9.12262,2021-03-10,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150,,DC Kupplung Combo,150,,,,,,,
Eskildsen GmbH & CO KG,Eddelaker Str.,131,Kundenparkplatz,25541,Brunsbüttel,Schleswig-Holstein,Kreis Dithmarschen,53.90908,9.142234,2022-05-20,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,,AC Steckdose Typ 2,11,,,,,,,
Stadtwerke Steinburg GmbH,Am Freizeitbad,2a,,25541,Brunsbüttel,Schleswig-Holstein,Kreis Dithmarschen,53.898544,9.131788,2023-05-31,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Steinburg GmbH,Am Freizeitbad,2a,,25541,Brunsbüttel,Schleswig-Holstein,Kreis Dithmarschen,53.898544,9.131788,2023-05-30,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Steinburg GmbH,Am Freizeitbad,2a,,25541,Brunsbüttel,Schleswig-Holstein,Kreis Dithmarschen,53.898544,9.131788,2023-05-30,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Steinburg GmbH,Koogstraße,61,,25541,Brunsbüttel,Schleswig-Holstein,Kreis Dithmarschen,53.896652,9.13945,2019-01-28,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Steinburg GmbH,Gustav Meyer Platz,0,Vor dem Tourismus Büro Brunsbüttel,25541,Brunsbüttel,Schleswig-Holstein,Kreis Dithmarschen,53.908717,9.138646,2018-08-23,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Steinburg GmbH,Kaufhausstraße,1,Edeka Frauen Kundenparkplatz,25541,Brunsbüttel,Schleswig-Holstein,Kreis Dithmarschen,53.899666,9.126402,2018-10-20,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Steinburg GmbH,Delbrückstraße,2,Krankenhaus Brunsbüttel,25541,Brunsbüttel,Schleswig-Holstein,Kreis Dithmarschen,53.900177,9.146242,2016-12-01,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Steinburg GmbH,Von Humboldt Platz,9,Bauamt Brunsbüttel,25541,Brunsbüttel,Schleswig-Holstein,Kreis Dithmarschen,53.897843,9.121495,2016-09-23,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
