adress_id,kreis_kreisfreie_stadt,ort,postleitzahl,strasse,hausnummer
24537,Landkreis Rems-Murr-Kreis,Berglen,73663,Lilienstr.,9
19260,Landkreis Karlsruhe,Zaisenhausen,75059,Gewerbestrasse,16-18
16577,Landkreis Ludwigslust-Parchim,Ludwigslust,19288,Alexandrinenplatz,0
2042,Landkreis Schwarzwald-Baar-Kreis,Furtwangen,78120,Gerwigstraße,1
28313,Kreisfreie Stadt Oberhausen,Oberhausen,46047,Luise-Albertz-Platz,0
7200,Kreisfreie Stadt Berlin,Berlin,10789,Augsburger Str.,25
14795,Kreisfreie Stadt Dortmund,Dortmund,44139,Rheinlanddamm,24
13015,Kreisfreie Stadt Berlin,Berlin,10585,Otto-Suhr-Allee,84
7188,Kreisfreie Stadt Berlin,Berlin,10719,Schaperstraße,17
10764,Kreisfreie Stadt Essen,Essen,45128,Kruppstrasse,5
13026,Kreisfreie Stadt Berlin,Berlin,10623,Straße des 17. Juni,115
21677,Kreisfreie Stadt Berlin,Berlin,14059,Schloßstraße,1 a
13021,Kreisfreie Stadt Berlin,Berlin,10587,Marchstraße,9
21457,Kreisfreie Stadt Berlin,Berlin,10707,Pommersche Straße,9
21452,Kreisfreie Stadt Berlin,Berlin,10623,Savignyplatz,2
7178,Kreisfreie Stadt Berlin,Berlin,10707,Schlüterstraße,46
21466,Kreisfreie Stadt Berlin,Berlin,10717,Güntzelstr.,56
21666,Kreisfreie Stadt Berlin,Berlin,14050,Steubenplatz,2-4
13279,Kreisfreie Stadt Berlin,Berlin,14199,Fritz-Wildung-Straße,26
21454,Kreisfreie Stadt Berlin,Berlin,10627,Windscheid Str.,20
7427,Kreisfreie Stadt Berlin,Berlin,14052,Theodor-Heuss-Platz,5
13028,Kreisfreie Stadt Berlin,Berlin,10627,Kantstraße,111 a
10797,Kreisfreie Stadt Essen,Essen,45141,Karolinger Strasse,94
13954,Kreis Rhein-Kreis Neuss,Neuss,41460,Collingstraße,2
7108,Kreisfreie Stadt Berlin,Berlin,10178,Jüdenstrasse,1
12957,Kreisfreie Stadt Berlin,Berlin,10117,Schumannstr.,6
21369,Kreisfreie Stadt Berlin,Berlin,10115,Anklamer Str.,8
21370,Kreisfreie Stadt Berlin,Berlin,10115,Boyenstr.,23
7102,Kreisfreie Stadt Berlin,Berlin,10117,Planckstr.,4
7146,Kreisfreie Stadt Berlin,Berlin,10435,Griebenowstraße,5
12955,Kreisfreie Stadt Berlin,Berlin,10117,Luisenstr.,31
21473,Kreisfreie Stadt Berlin,Berlin,10785,Bellevuestr.,3
10770,Kreisfreie Stadt Essen,Essen,45130,Zweigertstraße,52
8798,Kreisfreie Stadt Essen,Essen,45128,Huyssenallee,52
28085,Kreisfreie Stadt Essen,Essen,45127,Pferdemarkt,4
10755,Kreisfreie Stadt Essen,Essen,45127,Bernestraße,5
10756,Kreisfreie Stadt Essen,Essen,45127,Hachestraße,4
10765,Kreisfreie Stadt Essen,Essen,45128,Rellinghauserstraße,37
8845,Kreisfreie Stadt Essen,Essen,45239,Hardenbergufer,381
10808,Kreisfreie Stadt Essen,Essen,45149,Lührmannstr.,0
8791,Kreisfreie Stadt Essen,Essen,45127,Ribbeckstraße,0
4444,Kreisfreie Stadt Frankfurt am Main,Frankfurt am Main,60327,Friedrich-Ebert-Anlage,49
26758,Kreisfreie Stadt Frankfurt am Main,Frankfurt am Main,60323,Siesmayerstr.,0
26779,Kreisfreie Stadt Frankfurt am Main,Frankfurt am Main,60439,Erich Ollenhauer Ring,8
14783,Kreisfreie Stadt Dortmund,Dortmund,44137,Freistuhl,7
10796,Kreisfreie Stadt Essen,Essen,45141,Ernestinenstr.,60
27129,Kreisfreie Stadt Dortmund,Dortmund,44135,Burgwall,3
27137,Kreisfreie Stadt Dortmund,Dortmund,44137,Hoher Wall,2 A
14784,Kreisfreie Stadt Dortmund,Dortmund,44137,Hoher Wall,15
14782,Kreisfreie Stadt Dortmund,Dortmund,44137,Beurhausstr.,6
27138,Kreisfreie Stadt Dortmund,Dortmund,44137,Kuhstraße,10
13831,Kreis Recklinghausen,Recklinghausen,45661,Uferstraße,2-4
26752,Kreisfreie Stadt Frankfurt am Main,Frankfurt am Main,60316,Alfred-Brehm-Platz,0
28121,Kreisfreie Stadt Essen,Essen,45145,Kruppstr.,94
19330,Landkreis Konstanz,Singen (Hohentwiel),78224,Georg-Fischer-Strasse,33
8512,Kreis Unna,Unna,59424,Bahnhofstr.,49
14240,Kreis Unna,Unna,59425,Heinrich-Hertz-Str.,2
7170,Kreisfreie Stadt Berlin,Berlin,10623,Savignyplatz,6
22980,Landkreis Emsland,Salzbergen,48499,Holsterfeld,2
17722,Kreis Kleve,Geldern,47608,Südwall,32
23304,Landkreis Osnabrück,Bad Essen,49152,Gartenstraße,8
7199,Kreisfreie Stadt Berlin,Berlin,10787,Stülerstraße,11
13011,Kreisfreie Stadt Berlin,Berlin,10557,Flensburger Straße,1
7164,Kreisfreie Stadt Berlin,Berlin,10557,Alt-Moabit,5
7092,Kreisfreie Stadt Berlin,Berlin,10115,Torstraße,165
7091,Kreisfreie Stadt Berlin,Berlin,10115,Gartenstraße,13
21387,Kreisfreie Stadt Berlin,Berlin,10179,Alte Jakobstraße,76
12954,Kreisfreie Stadt Berlin,Berlin,10117,Behrensstraße,28
21485,Kreisfreie Stadt Berlin,Berlin,10963,Gabriele-Tergit-Promenade,1
7109,Kreisfreie Stadt Berlin,Berlin,10178,Mollstraße,4
27139,Kreisfreie Stadt Dortmund,Dortmund,44137,Rheinlanddamm,200
