betreiber_id,betreiber
4277,Ladestation Berglen Öschelbronn
3598,Strähle Galvanik GmbH
172,Stadtwerke Ludwigslust-Grabow GmbH
534,EGT Energie GmbH
1103,Energieversorgung Oberhausen AG
372,E.ON Drive Infrastructure
275,Westenergie Metering GmbH
1943,Stadtwerke Unna GmbH
801,Stadtwerke Geldern GmbH
39,Süwag Energie AG
731,EWV Energie- und Wasser-Versorgung GmbH
612,Emscher Lippe Energie GmbH
679,VWEW GmbH
642,Lechwerke AG
928,Stadtwerke Heidenheim AG
555,Stadtwerke Mössingen (Eigenbetrieb)
20,RhönEnergie Fulda GmbH
1293,Stadtwerke Schweinfurt GmbH
738,e-regio
1093,Energieversorgung Leverkusen GmbH & CO.KG
19,Privatperson
728,Stadtwerke Düren GmbH
2251,ENNI Energie & Umwelt Niederrhein GmbH
1457,Stadtwerke Stein GmbH & Co. KG
507,Stadtwerke Heidelberg Energie GmbH
1026,Stadtwerke Schwäbisch Gmünd GmbH
4001,kbg Homberg eG
112,ESWE Versorgungs AG
722,EMERGY Führungs- und Servicegesellschaft mbH
47,EWE Go GmbH
55,EAM Netz GmbH
1913,STAWAG Stadtwerke Aachen AG
2252,Stadtwerke Kamp-Lintfort GmbH
1844,BEW Bergische Energie- und Wasser-GmbH
2269,Stadtwerke Duisburg AG
1896,SWD AG
1696,Stadtwerke Bad Wörishofen Eigenbetrieb
2192,Stadtwerke Energie Jena-Pößneck GmbH
967,Stadtwerke Konstanz GmbH
454,Stadtwerke Verden GmbH
475,Stadtwerke Waiblingen GmbH
733,AVU AG
121,Stadtwerke Marburg GmbH
2126,Stadtwerke Kiel AG
56,EAM EnergiePlus GmbH
323,Stadtwerke Soltau GmbH & Co. KG
674,Stadtwerke Ingolstadt Energie GmbH
387,Osterholzer Stadtwerke GmbH & Co. KG
686,Stadtwerke Landshut - Kommunaler Eigenbetrieb der Stadt Landshut
4283,Sparkasse Heidelberg
211,Citywatt GmbH
631,SWU Energie GmbH
1264,Stadtwerke Leipzig GmbH
2777,Lausitz Energie Kraftwerke AG
669,Stadtwerke Hof Energie+Wasser GmbH
4748,Elektro Benzmüller
1348,Stadtwerke Bad Brückenau GmbH
1133,Stadtwerke Trier
891,Energie- und Wasserversorgung Bruchsal GmbH
1479,ÜZ Mainfranken eG
81,Energie Waldeck-Frankenberg GmbH
2238,Stadtwerke Mühlhausen GmbH
302,Harz Energie GmbH & Co. KG
568,Stadtwerke Waldshut-Tiengen
2324,Stadtwerke Riesa GmbH
12,EnBW mobility+ AG und Co.KG
452,Volksbank Dammer-Berge eG
2215,Energieversorgung Nordhausen GmbH
810,Stadtwerke Detmold GmbH
1513,Stadtwerke Vilsbiburg (Eigenbetrieb)
3158,e-RAST.de Solarstrom-Tankstelle Wickenrode
305,Versorgungsbetriebe Hann. Münden GmbH
706,Stadtwerke Rhede GmbH
273,enercity AG
1,GGEW AG
465,Stadtwerk am See GmbH & Co. KG
3974,Syna GmbH
162,Stadtwerke Rostock AG
1408,Rothmoser GmbH & Co. KG
62,Stadtwerke Bad Homburg
16,Mer Germany GmbH
872,Stadtwerke MüllheimStaufen GmbH
2107,Energieversorgung Sylt GmbH
1955,Kreis Warendorf
1086,TankE GmbH
1889,StadtWerke Rösrath  - Energie GmbH
368,Stadtwerke Einbeck GmbH
2185,SWE Energie GmbH
384,Stadtwerke Bramsche GmbH
498,FairEnergie GmbH
2244,Eisenacher Versorgungs-Betriebe GmbH
4255,Stadtwerke Meiningen
1842,Stadtwerke Radevormwald GmbH
