standort_id,breitengrad,laengengrad,adress_id
28936,48.88688,9.461024105,24537
22461,49.103776,8.811045,19260
18806,53.324631,11.498688,16577
2355,48.05154,8.20691,2042
33716,51.4924,6.8801,28313
25153,52.490689,13.330383,21466
8325,52.500975,13.316832,7178
25140,52.505442,13.323309,21452
25145,52.493451,13.315371,21457
14849,52.515187,13.322895,13021
25403,52.518924,13.295717,21677
12135,51.449093,7.009079,10764
8335,52.49935,13.3291,7188
14839,52.516849,13.30972,13015
16832,51.499264,7.480239,14795
8347,52.501328,13.335408,7200
14854,52.513105,13.329528,13026
14856,52.506883,13.306233,13028
8593,52.508373,13.272694,7427
25390,52.516421,13.261175,21666
15144,52.483647,13.29782,13279
25142,52.505332,13.30013,21454
12175,51.472319,7.018322,10797
15910,51.205039,6.689075,13954
8252,52.5188,13.409133,7108
14777,52.523719,13.380581,12957
25053,52.534303,13.39572,21369
25054,52.535977,13.36889,21370
8246,52.51897,13.390248,7102
8293,52.535929,13.404878,7146
14775,52.51983,13.38025,12955
25161,52.510384,13.37361,21473
10096,51.398064,7.047928,8845
10035,51.458856,7.016497,8791
12186,51.427651,6.981097,10808
12136,51.447822,7.013708,10765
12141,51.436525,6.998903,10770
12126,51.455753,7.016389,10755
33451,51.460517,7.013352,28085
10042,51.446514,7.009483,8798
12127,51.451925,7.012083,10756
5288,50.112703,8.652861,4444
31948,50.123544,8.65815,26758
31969,50.158651,8.635129,26779
16818,51.516154,7.462168,14783
12174,51.47248,7.043454,10796
32350,51.517366,7.468275,27129
32358,51.511903,7.458325,27137
16819,51.512764,7.456789,14784
32359,51.511737,7.463158,27138
16817,51.509102,7.46078,14782
15774,51.561644,7.208236,13831
31942,50.115675,8.697678,26752
33495,51.446454,6.99435,28121
22533,47.754271,8.852298,19330
9735,51.538309,7.693705,8512
16209,51.53571,7.727672,14240
8317,52.506653,13.322127,7170
27057,52.325833,7.429722,22980
20257,51.5157836,6.3233919,17722
27423,52.32,8.343056,23304
8311,52.523192,13.362577,7164
8346,52.507704,13.349451,7199
14835,52.520301,13.346278,13011
14774,52.5159,13.38985,12954
25071,52.510025,13.407956,21387
8235,52.530483,13.39135,7091
8236,52.529125,13.395841,7092
25186,52.508403,13.37671,21485
8253,52.52444,13.420539,7109
32360,51.497039,7.458828,27139
34086,50.329519,7.220581,28627
18329,50.060906,8.531761,16147
9565,50.7686111,6.097222,8344
11171,51.543333,6.5975,9871
11299,51.524232,6.925946,9994
9609,50.8181351,6.2716143,8389
9605,50.765535,6.2313398,8385
29811,47.88376,10.62481,25204
25063,52.509517,13.3896,21378
25162,52.50415,13.35334,21474
14778,52.533837,13.403191,12958
18124,50.877778,8.025556,15949
27918,51.09025,6.60419,23679
14058,48.043087,11.510123,12355
10125,51.488611,6.978056,8872
20079,51.856319,8.289748,17567
15975,50.9061,8.0276,14018
12378,51.4718039,6.8560736,10990
26486,50.22211,8.26925,22574
571,50.249831,8.195176,510
20005,50.8936052,6.2834947,17496
23053,50.0975,8.544971,4471
7224,48.24427,10.36264,6166
4589,48.673833,10.146306,3795
30910,48.681944,10.157222,25867
26800,52.274307,8.056303,22834
14776,52.515667,13.410533,12956
18663,50.218036,8.265172,16441
20640,48.40568042,9.047080597,18052
7332,48.14234,10.82863,6273
18224,50.55190167,9.678708422,16044
21331,47.98555,10.17697,18582
25663,52.298889,13.281667,21890
13148,50.061867,10.236942,11619
19974,50.805,6.488589,17469
31499,50.634247,6.474471,26351
34178,49.819864,6.75245,28704
32629,50.87051,6.10111,27373
31551,50.537971,6.555599,26404
23630,50.045456,9.023186,20239
3682,51.00304,6.42480999,3017
16113,50.8754229,6.1662248,14152
33656,51.030486,6.988297,28260
16914,51.531187,7.406094,14875
574,50.250053,8.312911,513
34092,50.569181,7.285593,28631
3652,50.810995,6.487707,2986
18649,50.149018,8.072921,16427
569,50.040155,8.081852,508
16646,51.438333,6.5325,14620
13769,49.405923,11.007361,12112
2548,49.406071,8.680941,2232
22808,48.79953,9.79838,19575
26497,51.03415702,9.394289245,528
6016,49.985302,7.526998,5133
5357,50.06051,8.254124,4502
12176,51.471665,7.052847,10798
34098,50.425937,7.472709,28637
32149,51.836668,6.861551,26944
23256,51.843364,6.855992,19963
449,50.140361,8.388083,394
18225,50.56018992,9.686789811,16045
31492,50.8149399,6.361881,26345
452,50.085106,8.471029,397
6715,48.18118,10.75935,5748
32351,51.51187,7.467151,27130
16810,51.516667,7.469492,14774
11330,51.513817,7.475514,10025
11331,51.512761,7.468058,14773
16292,51.66678,6.608813,14320
18436,50.296408,8.269332,16230
16830,51.497685,7.475908,14793
16833,51.494348,7.454124,14796
16831,51.50442,7.45847,14794
1221,53.08409,7.38531,1030
27240,53.26916122,9.73048,1191
8176,47.815128,10.896651,7034
19283,53.3961959,8.1368242,1073
11358,51.503692,7.454578,10053
32441,51.489186,7.502455,27212
26953,53.2563591,7.92588,22892
306,51.253851,9.410981,256
32374,51.50656,7.45774,27151
11430,51.425507,7.485184,10125
19423,53.0325464,9.7070463,17036
932,53.11190033,8.210189819,829
1398,53.473153,9.7887425,1199
1165,52.84167,8.05801,975
1993,52.730861,8.291302,1712
2019,52.83612,8.31152,1737
26944,53.18188,8.00233,924
16428,50.196799,6.82781,14439
23650,48.42479,10.87945,20261
19499,53.23233,7.46001,17100
16117,50.9021762,6.1828278,14156
27275,53.1041069,9.983074188,1216
2117,48.877253,9.401819,1819
32127,53.57592,8.25154,26923
27205,52.435886,7.074231,23118
923,53.17134,8.22869,820
27267,53.1200264,9.7936792,23175
27685,53.4879841,9.1464444,23483
16880,51.493702,7.416093,14842
32410,51.49868,7.420221,27186
11408,51.475543,7.436691,10104
16031,50.770127,6.071915,14068
32590,50.770103,6.071769,14068
11164,51.482965,6.538085,9867
11163,51.505713,6.544769,9866
11143,51.574907,6.512407,9846
1271,53.39342,8.01371,1077
11310,51.603606,6.926228,10005
16383,50.303396,7.603784,14399
9245,51.116589,7.397431,8033
3648,50.802204,6.482435,2982
9234,51.151322,7.343674,8022
12034,52.289167,8.544722,10679
19262,52.8406755,7.5220748,16890
31444,51.930556,7.348611,26299
32637,50.64773059,6.19523879,27385
1114,53.12617111,7.983799934,929
16089,50.5600057,6.23760449,14126
26478,50.008442,8.01959,22566
16928,51.44006,6.76787,14889
11830,50.778475,7.27076,10492
32536,50.792649,7.205628,27295
10017,51.15285562,6.887513781,8773
11899,51.20868765,6.75709405,10557
9973,51.2501236,6.768552447,8732
16960,51.22625755,6.778004551,14916
27724,51.119022,7.399175,23514
6590,48.35582,10.97853,5629
14670,48.00276938,10.59256911,12860
28638,50.896564,11.58306,24295
27023,53.60905,8.5941,1003
5973,49.969396,7.893363,5090
24646,47.77357,10.61451,21016
19982,50.813582,6.473227,17474
27195,52.303271,7.15522,23111
1359,52.498024,6.966896,1160
31068,47.675063,9.163708,26006
16961,51.22510861,6.78152361,14917
33455,51.447976,7.009406,28088
12391,51.5170202,6.8545844,10999
11879,51.22284087,6.773886542,10538
3671,50.8850464,6.4616703,3006
9423,51.141963,7.215647,8210
18530,50.079023,8.449704,16315
27869,51.141202,7.214088,23638
